개방자치단체코드,관리번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,202430000000200027,서울특별시,종로구,서울특별시 종로구청,서1-28,1968-07-03,,노목+거목,소나무과,Pinus densiflora,소나무,1,180,12,120,,마을나무,대,7183,단체,서울특별시 종로구 평창11길 9-1,서울특별시 종로구 평창동 329-2,37.606291,126.965916,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
3000000,202430000000200060,서울특별시,종로구,서울특별시 종로구청,서1-1,1968-07-03,,노목+거목,콩과,Sophora japonica,회화나무,1,430,12,390,,시·군나무,대,3297.8,공공,서울특별시 종로구 궁정동 55-3,서울특별시 종로구 궁정동 55-3,37.584271,126.972388,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
3000000,202430000000200025,서울특별시,종로구,서울특별시 종로구청,서1-25,1996-08-16,,노목+거목,느릅나무과,Ulmus pumila,비술나무,1,150,18,220,,면나무,대,8712.4,공공,서울특별시 종로구 삼청로 30,서울특별시 종로구 소격동 165,37.579093,126.980681,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
3000000,202430000000200014,서울특별시,종로구,서울특별시 종로구청,서1-14,1988-06-08,,노목+거목,은행나무과,Ginkgo biloba,은행나무,1,510,20,360,,시·군나무,학교용지,14205,단체,서울특별시 종로구 창덕궁길 164,서울특별시 종로구 계동 1,37.584922,126.987033,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
3000000,202430000000200050,서울특별시,종로구,서울특별시 종로구청,서1-11,1981-10-27,,노목+거목,소나무과,Pinus densiflora,소나무,1,315,12,190,,마을나무,대,823,단체,서울특별시 종로구 진흥로21길 12-6,서울특별시 종로구 구기동 81-38,37.608323,126.958617,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
3000000,202430000000200042,서울특별시,종로구,서울특별시 종로구청,서1-19,1981-10-27,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,265,13.8,370,,시·군나무,대,16191.8,개인,서울특별시 종로구 홍지문길 64,서울특별시 종로구 구기동 40,37.604395,126.957936,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
3000000,202430000000200038,서울특별시,종로구,서울특별시 종로구청,서1-23,1996-08-16,,노목+거목,느릅나무과,Ulmus pumila,비술나무,1,150,18.2,240,,면나무,대,8712.4,공공,서울특별시 종로구 삼청로 30,서울특별시 종로구 소격동 165,37.579093,126.980681,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
3000000,202430000000200024,서울특별시,종로구,서울특별시 종로구청,서1-24,1996-08-16,,노목+거목,느릅나무과,Ulmus pumila,비술나무,1,150,17.2,240,,면나무,대,8712.4,공공,서울특별시 종로구 삼청로 30,서울특별시 종로구 소격동 165,37.579093,126.980681,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
3000000,202430000000200059,서울특별시,종로구,서울특별시 종로구청,서1-2,1981-10-27,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,565,16.5,380,,시·군나무,학교용지,47840.1,공공,서울특별시 종로구 자하문로28가길 9,서울특별시 종로구 청운동 89-9,37.585934,126.971792,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
3000000,202430000000200021,서울특별시,종로구,서울특별시 종로구청,서1-21,1988-09-12,,노목+거목,느릅나무과,Zelkova serrata,느티나무,1,310,20,340,,시·군나무,대,658.4,개인,서울특별시 종로구 창덕궁길 188-3,서울특별시 종로구 가회동 5,37.583897,126.985864,2024-07-10,I,2026-05-15 18:44:54,2024-07-10 20:05:11
